content_id,genre_id
189,38
190,25
190,6
191,15
191,38
192,15
192,11
193,14
193,17
193,38
194,23
194,1
195,23
195,42
195,1
196,17
196,15
196,38
197,17
197,36
198,25
198,6
199,13
199,23
199,1
200,17
200,15
200,38
201,14
201,29
201,38
202,15
202,38
202,39
203,17
203,38
203,27
204,17
204,38
205,17
205,38
206,17
206,38
206,41
207,15
207,11
207,38
208,14
208,38
208,27
209,15
209,38
209,27
210,15
210,38
210,27
211,29
211,38
212,29
212,38
213,23
213,1
214,4
214,23
215,14
215,38
216,14
216,15
216,38
217,17
217,15
217,11
218,17
218,15
218,38
219,20
219,2
220,12
220,23
221,25
221,6
222,28
223,13
223,1
223,22
224,13
224,4
224,23
225,23
225,20
226,23
226,1
226,22
227,23
227,6
227,1
228,15
228,11
228,36
229,14
230,29
231,28
231,26
232,5
232,15
233,20
234,28
234,27
235,25
235,6
236,28
236,3
236,26
237,29
237,38
237,39
238,29
238,38
238,39
239,29
239,38
239,39
240,29
240,38
240,39
241,14
241,35
242,1
242,22
242,30
243,23
243,6
244,23
244,42
244,6
245,15
245,38
245,39
246,4
246,23
247,15
247,38
247,36
248,14
248,15
249,6
249,1
250,5
250,17
250,27
251,15
251,38
251,36
252,15
252,11
252,36
253,38
253,39
254,15
254,38
254,36
255,25
256,28
256,38
257,15
257,38
258,15
258,38
258,36
259,17
259,15
259,38
260,17
260,15
260,38
261,13
261,23
261,1
262,17
262,38
262,36
263,28
263,3
263,26
264,25
265,17
265,11
266,12
266,23
266,19
267,4
267,23
268,40
268,15
268,11
269,15
269,38
270,25
271,14
272,1
272,24
272,22
273,25
274,13
274,23
274,1
275,6
275,1
276,13
276,23
276,42
277,23
277,19
277,42
278,23
278,1
278,2
279,10
280,14
280,35
280,5
281,20
282,17
282,38
283,15
283,11
283,38
284,28
284,38
285,17
285,36
286,15
286,38
287,25
288,23
288,19
288,6
289,13
289,23
289,42
290,23
290,19
290,1
291,28
291,26
292,12
292,23
293,17
293,15
293,11
294,17
294,38
294,36
295,38
295,27
296,14
296,17
297,18
297,1
297,22
298,8
299,17
299,15
299,38
300,29
300,11
300,38
301,5
301,27
302,14
302,17
302,38
303,28
303,38
304,17
304,32
304,38
305,28
306,40
306,15
306,38
307,15
307,38
308,29
309,33
310,20
311,13
311,4
312,23
312,42
312,1
313,20
314,23
314,19
314,1
315,15
315,11
315,36
316,15
316,38
317,23
317,19
317,6
318,28
318,3
319,28
319,38
320,23
320,19
320,6
321,4
322,23
322,19
322,6
323,23
323,19
323,6
324,6
325,25
326,5
326,17
327,5
327,17
328,14
328,41
329,14
330,15
331,5
331,17
331,41
332,12
332,23
332,34
333,14
333,29
333,41
334,40
334,17
334,32
335,15
335,36
336,15
336,39
337,1
337,2
338,17
338,36
339,12
339,23
340,15
340,11
340,38
341,14
341,41
341,39
342,15
342,11
343,17
344,15
345,5
345,17
345,15
346,5
346,17
347,14
347,17
348,5
348,17
348,41
349,17
350,15
350,26
351,14
351,15
351,41
352,14
352,17
352,32
353,17
353,15
354,29
355,14
355,17
356,15
356,39
357,14
358,15
358,11
358,39
359,39
360,10
361,17
361,36
362,1
362,30
363,15
363,38
364,14
364,38
364,39
365,25
365,6
366,15
366,11
366,38
367,9
367,23
367,20
368,28
368,38
369,23
369,20
370,9
370,13
370,4
371,18
371,1
371,2
372,15
372,11
372,38
373,14
373,38
374,14
374,17
374,38
375,17
375,38
375,36
376,17
376,36
377,12
378,14
378,38
379,28
380,20
381,13
381,18
381,30
382,13
382,23
382,42
383,1
383,2
384,14
384,38
385,39
386,13
386,23
386,6
387,25
388,17
388,15
388,38
389,16
389,6
390,15
390,38
390,39
391,31
391,18
391,1
392,23
392,18
392,1
393,14
393,15
394,5
394,26
395,15
395,11
395,38
396,17
396,38
397,14
397,29
397,38
398,23
398,19
398,6
399,29
399,38
399,39
400,18
400,30
401,12
401,16
402,23
402,42
402,18
403,15
403,36
404,4
405,28
406,5
407,5
408,5
409,5
410,5
411,5
412,5
413,5
414,5
415,5
416,5
417,5
418,5
419,5
420,5
420,26
421,5
422,5
423,5
424,5
425,5
426,1
427,15
428,17
428,38
429,35
429,5
429,38
430,15
430,38
430,39
431,9
431,23
431,20
432,23
432,20
432,19
433,5
434,17
434,15
434,11
435,31
435,13
435,23
436,13
436,23
436,19
437,15
437,38
437,36
438,14
439,15
439,38
439,36
440,15
440,38
440,39
441,4
441,7
442,29
442,3
443,25
443,6
444,17
444,38
445,4
446,15
446,11
446,39
447,15
448,15
448,36
449,15
449,36
450,15
450,36
451,15
451,36
452,14
452,15
452,36
453,17
453,15
453,38
454,12
454,23
455,17
455,32
456,28
456,38
456,27
457,23
457,19
457,6
458,28
458,38
458,26
459,15
459,38
459,36
460,6
460,1
460,2
461,5
461,17
461,26
462,17
462,15
462,11
463,28
464,29
464,38
465,14
465,17
466,13
466,4
467,20
468,28
468,38
469,17
469,15
469,38
470,15
470,11
471,33
472,5
472,15
472,38
473,25
474,28
474,26
475,14
475,17
476,10
477,17
477,28
477,38
478,6
478,1
478,2
479,23
479,1
479,30
480,29
481,17
481,15
481,38
482,14
482,15
482,38
483,4
484,15
484,38
484,36
485,10
486,39
487,5
487,17
487,41
488,23
488,19
488,42
489,19
489,1
490,17
490,38
491,13
491,4
491,23
492,17
492,15
492,36
493,15
493,36
494,12
494,24
494,34
495,17
495,27
496,28
496,38
497,14
497,38
498,4
499,15
499,38
500,4
501,14
501,38
502,15
502,38
503,15
503,38
503,36
504,13
504,23
504,1
505,23
505,42
505,6
506,15
506,38
507,38
507,36
508,17
508,38
509,15
509,38
510,25
511,23
511,1
511,22
512,16
512,6
513,25
514,18
514,1
514,30
515,9
515,23
515,6
516,9
516,23
516,6
517,23
517,1
517,22
518,23
518,19
518,6
519,15
519,38
520,9
520,13
520,4
521,6
522,23
522,6
523,25
523,21
523,6
524,9
524,13
524,23
525,23
525,1
526,25
527,6
527,1
528,25
529,15
529,38
529,36
530,15
530,38
531,25
531,6
532,15
532,38
533,13
533,24
533,22
534,23
534,1
535,15
535,38
536,25
536,6
537,4
537,23
537,7
538,23
538,20
539,9
539,23
539,1
540,25
540,18
540,30
541,9
541,25
542,17
542,15
542,38
543,15
543,38
544,13
544,23
544,18
545,23
545,6
546,25
546,21
547,23
547,19
547,1
548,25
549,19
549,1
550,23
550,20
551,29
551,3
552,38
552,36
552,39
553,17
553,38
554,13
554,23
554,1
555,15
555,38
555,39
556,14
556,32
556,38
557,29
557,38
557,39
558,29
558,41
559,14
560,14
561,28
561,26
562,14
562,17
563,17
564,14
564,17
564,41
565,17
565,15
565,11
566,23
566,25
566,22
567,14
567,17
568,14
568,39
569,5
569,17
570,15
570,38
570,36
571,14
571,38
572,23
572,19
572,6
573,17
573,15
573,38
574,5
574,17
575,5
575,17
576,17
576,15
576,36
577,15
577,37
577,38
578,23
578,6
579,15
579,36
580,14
580,40
580,17
581,14
581,35
581,38
582,14
582,41
583,17
583,15
584,17
584,36
585,17
586,15
586,36
587,29
588,23
588,6
588,1
589,25
590,15
590,38
591,12
591,25
592,15
592,36
593,17
593,36
594,5
594,17
595,14
595,41
596,5
596,17
597,17
597,15
597,11
598,14
598,17
598,26
599,15
599,39
600,15
601,39
602,14
602,5
602,40
603,14
603,5
603,15
604,5
604,15
605,15
606,14
607,15
607,38
608,29
608,39
609,14
610,14
